NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240101;11.5;1.0;4.5;1.0;724.0;9.0;10.4;1.0;318.0;9.0;7.2;1;7.5;1.0;5.9;1.0;3.6;9.0;4.0;9.0;4.1;9;14.0;9.0;360.0;9.0;2306.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240102;18.0;1.0;9.3;1.0;654.0;9.0;11.1;1.0;1836.0;9.0;10.2;1;10.2;1.0;1.8;1.0;7.3;9.0;7.4;9.0;6.7;9;19.0;9.0;90.0;9.0;1312.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240103;8.5;1.0;8.6;1.0;1306.0;9.0;11.3;1.0;1142.0;9.0;9.6;1;10.0;1.0;2.7;1.0;7.7;9.0;7.7;9.0;4.6;9;13.0;9.0;360.0;9.0;1248.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240104;0.0;1.0;6.2;1.0;800.0;9.0;10.5;1.0;1900.0;9.0;8.5;1;8.4;1.0;4.3;1.0;5.4;9.0;5.8;9.0;4.1;9;13.0;9.0;60.0;9.0;1954.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240105;1.0;1.0;4.6;1.0;842.0;9.0;9.3;1.0;1306.0;9.0;6.4;1;7.0;1.0;4.7;1.0;1.7;9.0;2.8;9.0;2.4;9;12.0;9.0;360.0;9.0;118.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240106;0.5;1.0;2.9;1.0;306.0;9.0;7.0;1.0;1242.0;9.0;4.5;1;5.0;1.0;4.1;1.0;0.0;9.0;1.2;9.0;2.5;9;10.0;9.0;360.0;9.0;2000.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240107;0.0;1.0;1.9;1.0;1754.0;9.0;2.9;1.0;1148.0;9.0;2.2;1;2.4;1.0;1.0;1.0;1.1;9.0;1.6;9.0;3.7;9;9.0;9.0;360.0;9.0;2336.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240108;0.0;1.0;-2.5;1.0;1230.0;9.0;-1.5;1.0;1536.0;9.0;-1.9;1;-2.0;1.0;1.0;1.0;-2.2;9.0;-2.1;9.0;3.9;9;10.0;9.0;360.0;9.0;430.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240109;0.0;1.0;-3.8;1.0;1754.0;9.0;-2.5;1.0;1118.0;9.0;-3.0;1;-3.2;1.0;1.3;1.0;-4.2;9.0;-4.0;9.0;2.7;9;6.0;9.0;360.0;9.0;1936.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240110;0.0;1.0;-3.2;1.0;6.0;9.0;-0.4;1.0;1412.0;9.0;-1.9;1;-1.8;1.0;2.8;1.0;-4.3;9.0;-4.0;9.0;1.9;9;4.0;9.0;360.0;9.0;1948.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240111;0.0;1.0;-2.9;1.0;424.0;9.0;1.5;1.0;554.0;9.0;-0.9;1;-0.7;1.0;4.4;1.0;-4.7;9.0;-3.8;9.0;3.1;9;8.0;9.0;360.0;9.0;2100.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240112;0.0;1.0;-1.0;1.0;0.0;9.0;1.9;1.0;812.0;9.0;0.7;1;0.5;1.0;2.9;1.0;-3.2;9.0;-2.5;9.0;2.9;9;7.0;9.0;360.0;9.0;900.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240113;0.0;1.0;-3.0;1.0;1612.0;9.0;-1.9;1.0;748.0;9.0;-2.4;1;-2.5;1.0;1.1;1.0;-2.6;9.0;-2.9;9.0;1.3;9;4.0;9.0;360.0;9.0;2342.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240114;0.0;1.0;-4.4;1.0;554.0;9.0;-0.6;1.0;554.0;9.0;-3.1;1;-2.5;1.0;3.8;1.0;-4.1;9.0;-4.3;9.0;1.6;9;5.0;9.0;360.0;9.0;1712.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240115;0.5;1.0;-1.9;1.0;142.0;9.0;4.5;1.0;1242.0;9.0;0.2;1;1.3;1.0;6.4;1.0;-4.5;9.0;-2.4;9.0;1.8;9;7.0;9.0;360.0;9.0;1300.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240116;0.0;2.0;-4.6;1.0;654.0;9.0;4.1;1.0;1154.0;9.0;-1.3;1;-0.3;1.0;8.7;1.0;-8.6;9.0;-6.6;9.0;1.2;9;5.0;9.0;120.0;9.0;2054.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240117;14.5;1.0;-1.3;1.0;154.0;9.0;10.9;1.0;1324.0;9.0;1.4;1;4.8;1.0;12.2;1.0;-1.5;9.0;-1.6;9.0;2.4;9;12.0;9.0;220.0;9.0;1254.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240118;0.0;1.0;-1.0;1.0;830.0;9.0;2.4;1.0;1412.0;9.0;-0.3;1;0.7;1.0;3.4;1.0;-3.1;9.0;-1.8;9.0;2.9;9;10.0;9.0;360.0;9.0;506.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240119;0.0;1.0;-4.1;1.0;542.0;9.0;3.6;1.0;1318.0;9.0;-1.2;1;-0.3;1.0;7.7;1.0;-7.6;9.0;-5.5;9.0;1.5;9;4.0;9.0;360.0;9.0;2318.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240120;0.0;1.0;-4.4;1.0;748.0;9.0;2.4;1.0;1430.0;9.0;-1.2;1;-1.0;1.0;6.8;1.0;-6.8;9.0;-5.5;9.0;1.9;9;7.0;9.0;360.0;9.0;2354.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240121;0.0;1.0;-1.5;1.0;100.0;9.0;10.4;1.0;518.0;9.0;3.5;1;4.5;1.0;11.9;1.0;-2.0;9.0;-1.7;9.0;5.1;9;18.0;9.0;60.0;9.0;2342.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240122;0.5;1.0;8.9;1.0;42.0;9.0;12.6;1.0;1212.0;9.0;9.9;1;10.8;1.0;3.7;1.0;5.9;9.0;6.2;9.0;6.0;9;18.0;9.0;60.0;9.0;212.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240123;0.5;1.0;6.1;1.0;412.0;9.0;12.8;1.0;554.0;9.0;8.9;1;9.5;1.0;6.7;1.0;4.9;9.0;5.5;9.0;4.5;9;13.0;9.0;250.0;9.0;2354.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240124;2.0;1.0;10.8;1.0;1018.0;9.0;14.1;1.0;1306.0;9.0;12.4;1;12.5;1.0;3.3;1.0;9.8;9.0;9.9;9.0;3.7;9;13.0;9.0;230.0;9.0;118.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240125;0.5;1.0;9.4;1.0;412.0;9.0;12.4;1.0;1312.0;9.0;10.6;1;10.9;1.0;3.0;1.0;9.1;9.0;9.2;9.0;1.9;9;7.0;9.0;30.0;9.0;1548.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240126;1.5;1.0;6.0;1.0;1754.0;9.0;11.4;1.0;1300.0;9.0;8.4;1;8.7;1.0;5.4;1.0;-0.1;9.0;2.9;9.0;2.9;9;10.0;9.0;300.0;9.0;1018.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240127;0.5;1.0;-0.9;1.0;736.0;9.0;7.0;1.0;1448.0;9.0;3.0;1;3.1;1.0;7.9;1.0;-5.5;9.0;-3.2;9.0;1.4;9;5.0;9.0;360.0;9.0;1806.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240128;0.0;1.0;0.1;1.0;200.0;9.0;8.2;1.0;1506.0;9.0;4.6;1;4.2;1.0;8.1;1.0;-2.9;9.0;-1.5;9.0;2.0;9;6.0;9.0;360.0;9.0;406.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240129;0.0;1.0;5.1;1.0;724.0;9.0;12.7;1.0;1400.0;9.0;9.2;1;8.9;1.0;7.6;1.0;3.5;9.0;4.3;9.0;2.7;9;7.0;9.0;60.0;9.0;1254.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240130;0.0;1.0;8.5;1.0;1754.0;9.0;11.2;1.0;1200.0;9.0;9.3;1;9.9;1.0;2.7;1.0;5.3;9.0;6.9;9.0;2.2;9;8.0;9.0;360.0;9.0;518.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240131;0.5;1.0;4.5;1.0;724.0;9.0;9.7;1.0;1442.0;9.0;7.0;1;7.1;1.0;5.2;1.0;-0.4;9.0;1.6;9.0;1.8;9;7.0;9.0;360.0;9.0;2154.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240201;0.5;1.0;8.0;1.0;1742.0;9.0;10.9;1.0;1506.0;9.0;8.6;1;9.5;1.0;2.9;1.0;4.6;9.0;5.6;9.0;1.9;9;6.0;9.0;360.0;9.0;406.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240202;0.5;1.0;2.8;1.0;548.0;9.0;8.4;1.0;1442.0;9.0;5.4;1;5.6;1.0;5.6;1.0;2.0;9.0;2.6;9.0;2.4;9;6.0;9.0;360.0;9.0;1754.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240203;0.0;1.0;7.2;1.0;30.0;9.0;9.6;1.0;1524.0;9.0;8.5;1;8.4;1.0;2.4;1.0;5.8;9.0;5.7;9.0;2.0;9;6.0;9.0;360.0;9.0;1542.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240204;0.0;1.0;8.0;1.0;800.0;9.0;9.7;1.0;1054.0;9.0;8.5;1;8.9;1.0;1.7;1.0;7.6;9.0;7.7;9.0;2.9;9;8.0;9.0;10.0;9.0;1230.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240205;0.0;1.0;6.7;1.0;1754.0;9.0;7.9;1.0;600.0;9.0;7.3;1;7.3;1.0;1.2;1.0;6.5;9.0;6.6;9.0;3.3;9;8.0;9.0;360.0;9.0;2200.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240206;1.0;1.0;6.2;1.0;12.0;9.0;10.9;1.0;1430.0;9.0;9.0;1;8.6;1.0;4.7;1.0;6.0;9.0;6.0;9.0;4.8;9;11.0;9.0;90.0;9.0;1106.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240207;8.5;1.0;9.9;1.0;1430.0;9.0;11.8;1.0;548.0;9.0;10.6;1;10.9;1.0;1.9;1.0;8.9;9.0;8.9;9.0;5.3;9;12.0;9.0;360.0;9.0;1312.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240208;5.0;1.0;10.7;1.0;1736.0;9.0;12.7;1.0;1242.0;9.0;11.3;1;11.7;1.0;2.0;1.0;9.9;9.0;10.1;9.0;5.0;9;13.0;9.0;60.0;9.0;954.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240209;0.0;1.0;9.8;1.0;0.0;9.0;12.6;1.0;1224.0;9.0;10.6;1;11.2;1.0;2.8;1.0;8.7;9.0;8.8;9.0;4.7;9;12.0;9.0;90.0;9.0;600.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240210;6.5;1.0;6.4;1.0;1754.0;9.0;9.5;1.0;1342.0;9.0;7.4;1;8.0;1.0;3.1;1.0;4.7;9.0;5.6;9.0;1.8;9;9.0;9.0;360.0;9.0;1448.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240211;1.0;1.0;6.7;1.0;18.0;9.0;9.7;1.0;1448.0;9.0;7.9;1;8.2;1.0;3.0;1.0;5.4;9.0;5.7;9.0;4.0;9;10.0;9.0;360.0;9.0;1548.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240212;1.0;1.0;4.3;1.0;212.0;9.0;10.6;1.0;1412.0;9.0;6.3;1;7.5;1.0;6.3;1.0;2.8;9.0;3.8;9.0;1.7;9;6.0;9.0;360.0;9.0;1618.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240213;0.5;1.0;2.9;1.0;148.0;9.0;9.7;1.0;554.0;9.0;6.7;1;6.3;1.0;6.8;1.0;0.0;9.0;1.2;9.0;3.1;9;10.0;9.0;360.0;9.0;1812.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240214;0.5;1.0;8.8;1.0;0.0;9.0;14.2;1.0;1412.0;9.0;11.6;1;11.5;1.0;5.4;1.0;7.5;9.0;7.6;9.0;3.2;9;9.0;9.0;90.0;9.0;1118.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240215;0.0;1.0;7.8;1.0;624.0;9.0;17.4;1.0;1442.0;9.0;13.4;1;12.6;1.0;9.6;1.0;4.6;9.0;6.1;9.0;2.5;9;8.0;9.0;190.0;9.0;2354.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240216;0.0;1.0;9.8;1.0;1754.0;9.0;13.2;1.0;636.0;9.0;11.8;1;11.5;1.0;3.4;1.0;7.2;9.0;8.7;9.0;3.3;9;9.0;9.0;90.0;9.0;624.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240217;0.0;1.0;8.4;1.0;712.0;9.0;13.9;1.0;1448.0;9.0;10.3;1;11.2;1.0;5.5;1.0;6.2;9.0;7.6;9.0;1.6;9;6.0;9.0;30.0;9.0;1300.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240218;4.5;1.0;6.5;1.0;454.0;9.0;11.4;1.0;1954.0;9.0;8.9;1;9.0;1.0;4.9;1.0;5.9;9.0;6.3;9.0;3.2;9;9.0;9.0;360.0;9.0;1242.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240219;0.5;1.0;8.9;1.0;1730.0;9.0;10.3;1.0;1000.0;9.0;9.4;1;9.6;1.0;1.4;1.0;6.2;9.0;7.6;9.0;2.4;9;8.0;9.0;360.0;9.0;1306.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240220;0.0;1.0;6.0;1.0;624.0;9.0;9.3;1.0;1536.0;9.0;7.1;1;7.7;1.0;3.3;1.0;5.0;9.0;6.0;9.0;2.3;9;6.0;9.0;360.0;9.0;1900.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240221;12.0;1.0;5.8;1.0;218.0;9.0;11.6;1.0;548.0;9.0;8.1;1;8.7;1.0;5.8;1.0;5.0;9.0;5.4;9.0;4.4;9;13.0;9.0;360.0;9.0;1830.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240222;16.0;1.0;6.5;1.0;1548.0;9.0;12.8;1.0;1324.0;9.0;9.7;1;9.7;1.0;6.3;1.0;5.5;9.0;5.5;9.0;6.0;9;18.0;9.0;360.0;9.0;1542.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240223;1.0;1.0;3.7;1.0;636.0;9.0;8.5;1.0;1324.0;9.0;5.1;1;6.1;1.0;4.8;1.0;2.9;9.0;3.3;9.0;4.2;9;10.0;9.0;360.0;9.0;1642.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240224;4.5;1.0;2.7;1.0;642.0;9.0;7.9;1.0;1342.0;9.0;4.8;1;5.3;1.0;5.2;1.0;2.0;9.0;2.5;9.0;3.9;9;12.0;9.0;360.0;9.0;1606.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240225;8.0;1.0;4.0;1.0;454.0;9.0;8.3;1.0;200.0;9.0;6.1;1;6.2;1.0;4.3;1.0;4.0;9.0;4.0;9.0;3.6;9;10.0;9.0;360.0;9.0;1212.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240226;9.5;1.0;5.1;1.0;1754.0;9.0;9.7;1.0;1142.0;9.0;6.8;1;7.4;1.0;4.6;1.0;4.7;9.0;4.6;9.0;4.0;9;14.0;9.0;360.0;9.0;1830.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240227;0.0;1.0;4.0;1.0;800.0;9.0;8.6;1.0;1554.0;9.0;5.5;1;6.3;1.0;4.6;1.0;3.9;9.0;4.0;9.0;3.7;9;10.0;9.0;360.0;9.0;112.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240228;0.0;1.0;-0.1;1.0;648.0;9.0;9.1;1.0;1348.0;9.0;5.5;1;4.5;1.0;9.2;1.0;-3.8;9.0;-1.8;9.0;1.9;9;6.0;9.0;360.0;9.0;2354.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240229;3.5;1.0;7.3;1.0;830.0;9.0;10.2;1.0;1736.0;9.0;8.4;1;8.8;1.0;2.9;1.0;5.5;9.0;6.1;9.0;3.7;9;10.0;9.0;360.0;9.0;2218.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240301;6.0;1.0;3.9;1.0;654.0;9.0;10.2;1.0;1436.0;9.0;6.5;1;7.1;1.0;6.3;1.0;3.2;9.0;3.6;9.0;4.6;9;15.0;9.0;360.0;9.0;1118.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240302;13.5;1.0;4.1;1.0;418.0;9.0;7.4;1.0;1436.0;9.0;5.5;1;5.8;1.0;3.3;1.0;3.2;9.0;3.7;9.0;2.8;9;10.0;9.0;360.0;9.0;1100.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240303;0.5;1.0;4.0;1.0;718.0;9.0;8.6;1.0;1530.0;9.0;5.4;1;6.3;1.0;4.6;1.0;2.1;9.0;3.6;9.0;1.4;9;6.0;9.0;360.0;9.0;1524.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240304;0.5;1.0;-0.2;1.0;418.0;9.0;10.3;1.0;1400.0;9.0;5.8;1;5.1;1.0;10.5;1.0;-4.0;9.0;-1.8;9.0;1.9;9;9.0;9.0;360.0;9.0;2030.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240305;4.5;1.0;5.5;1.0;48.0;9.0;10.0;1.0;1412.0;9.0;6.3;1;7.8;1.0;4.5;1.0;4.8;9.0;5.0;9.0;2.9;9;8.0;9.0;360.0;9.0;1306.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240306;0.0;1.0;4.0;1.0;630.0;9.0;9.8;1.0;1448.0;9.0;6.2;1;6.9;1.0;5.8;1.0;1.9;9.0;3.1;9.0;1.2;9;4.0;9.0;90.0;9.0;1000.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240307;0.5;1.0;1.2;1.0;448.0;9.0;12.2;1.0;1448.0;9.0;6.8;1;6.7;1.0;11.0;1.0;-4.0;9.0;-1.1;9.0;2.7;9;8.0;9.0;90.0;9.0;1548.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240308;0.0;1.0;2.4;1.0;612.0;9.0;12.8;1.0;1518.0;9.0;7.9;1;7.6;1.0;10.4;1.0;1.3;9.0;2.0;9.0;3.8;9;12.0;9.0;90.0;9.0;2148.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240309;5.0;1.0;4.9;1.0;642.0;9.0;12.8;1.0;1136.0;9.0;7.9;1;8.9;1.0;7.9;1.0;3.3;9.0;4.3;9.0;2.6;9;8.0;9.0;360.0;9.0;1224.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240310;0.0;1.0;6.5;1.0;748.0;9.0;9.9;1.0;1554.0;9.0;7.3;1;8.2;1.0;3.4;1.0;5.9;9.0;6.0;9.0;1.6;9;4.0;9.0;360.0;9.0;1636.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240311;1.5;1.0;4.3;1.0;218.0;9.0;12.3;1.0;1130.0;9.0;7.7;1;8.3;1.0;8.0;1.0;0.0;9.0;3.2;9.0;2.5;9;9.0;9.0;360.0;9.0;1524.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240312;6.5;1.0;6.4;1.0;718.0;9.0;11.2;1.0;1754.0;9.0;8.9;1;8.8;1.0;4.8;1.0;5.7;9.0;6.2;9.0;2.7;9;8.0;9.0;360.0;9.0;1548.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240313;0.0;1.0;9.3;1.0;424.0;9.0;12.3;1.0;1454.0;9.0;10.4;1;10.8;1.0;3.0;1.0;8.2;9.0;8.8;9.0;2.2;9;7.0;9.0;360.0;9.0;1454.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240314;0.5;1.0;5.6;1.0;636.0;9.0;17.2;1.0;1530.0;9.0;11.7;1;11.4;1.0;11.6;1.0;0.4;9.0;4.0;9.0;2.4;9;8.0;9.0;360.0;9.0;2354.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240315;6.5;1.0;11.5;1.0;1724.0;9.0;15.7;1.0;1442.0;9.0;12.7;1;13.6;1.0;4.2;1.0;10.6;9.0;10.6;9.0;4.0;9;10.0;9.0;360.0;9.0;1430.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240316;0.5;1.0;9.0;1.0;654.0;9.0;14.4;1.0;1530.0;9.0;11.2;1;11.7;1.0;5.4;1.0;7.9;9.0;8.3;9.0;2.1;9;9.0;9.0;270.0;9.0;230.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240317;2.5;1.0;9.5;1.0;518.0;9.0;14.6;1.0;1606.0;9.0;11.6;1;12.1;1.0;5.1;1.0;8.1;9.0;8.9;9.0;1.7;9;6.0;9.0;230.0;9.0;1348.0;9.0
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151;157;20240318;0.0;1.0;10.4;1.0;630.0;9.0;15.8;1.0;1618.0;9.0;12.8;1;13.1;1.0;5.4;1.0;8.6;9.0;9.7;9.0;1.3;9;5.0;9.0;240.0;9.0;1354.0;9.0
